,111,112,113-115,114,21-1,21-2,22,23,311,312,313-314,315-316,321,322-323,324-326,327,331-332,333-336,337,339,43,46,48-49,51,52,53,54,55,56,61,62,71,72,81
313-314,0.00010226974840044054,7.816277644204177e-07,0.0007488787943335707,4.900803951418102e-05,0.0,0.0,2.9683738682473827e-08,1.8320372802266113e-06,7.729274751501906e-05,4.0865284169143454e-08,0.05523026426769423,0.023836741435531137,0.00015627842945027277,0.006338196072754102,9.677020640845501e-05,0.00029804097924268495,5.0723740173268246e-05,0.0005697303349023814,0.0034748653963452563,0.00329157195131342,0.00014665736464293161,0.00023350364673282433,1.103168528138204e-05,4.784568102454814e-06,9.651454054099207e-07,2.7321928436798553e-05,6.8917515069168936e-06,3.785541807684811e-05,0.0007571536480080135,7.628473041405135e-05,0.0004991499463810881,0.0005320874622372925,0.000801687886086271,0.0007558421617377295
315-316,0.0,3.9140613107581385e-06,3.368009889475743e-05,0.0001378460896371,0.0,0.0003116677713536,4.3210622008921306e-05,0.0009391133840779309,5.727734021015335e-05,6.642840710490162e-06,0.0007893853705520878,0.06245878693078893,2.4681254375495968e-05,0.00013332226237845938,0.00016394240411128739,0.0005499669381468514,9.701874800856971e-05,0.00014815396028093066,0.0013804160543277866,0.0012254418478879192,8.805710669389368e-05,4.375666575301346e-05,3.339056598889927e-05,0.00017789047665478383,2.2564148271176393e-05,4.445495258728883e-06,3.3825896620672316e-05,0.0002935340211193,0.00018311686217786682,0.0003980372653390392,0.0006706988057243678,0.0012462610177341538,0.00016257768931097246,0.00016351081117406847
321,0.0003566473697526315,1.557240972685623e-06,0.00014518234061627961,0.0012428544214429,0.0,0.0245435787830029,0.00010543079634214756,0.0024270258319219105,6.212219929803592e-05,0.00012532279686795693,0.0009132704267923113,0.0007239229459304646,0.060946515385418926,0.00026598602855835795,0.0001675217759107689,0.0009235807495087,0.0012735488644300377,0.0004132817200737556,0.020831514166337915,0.003766369381417346,0.00014909520536148028,0.00016005377585992238,0.0002898230367559699,0.00036598359482093297,3.676442711051904e-06,9.899898115554792e-05,0.00011653928097010154,8.324539425434547e-05,6.977784343459093e-05,4.43603710410067e-05,0.0011006959030778413,0.0001428477409555427,0.0007248616302569668,7.031221573648651e-05
322-323,0.00045644478425554865,0.00013680195477222228,0.0031924494782928276,0.0012404830646922,0.0,9.641044024295715e-05,4.505648187390347e-05,8.220302336542144e-05,0.0009389687925154922,0.0005986555657660756,0.003818386686206053,0.005553830004481101,0.0012729330459622366,0.06474663530679127,0.0009995278782906874,0.0092905369712098,0.0028837190203521196,0.003317563730489131,0.004972064420768845,0.019309391094912632,0.0012624047406093839,0.001261736419187862,0.0001398849132584882,0.0008544159116241079,0.004119513250493517,0.00018529571848643304,0.004864518343455183,0.004447608906816,0.0023936155943948007,0.0032154498296767943,0.002519718884532553,0.005508345632234636,0.002931644637076896,0.0006325108339667624
324-326,0.022275522784997316,0.002991641075857176,0.0387736405007383,0.1016185212447655,0.0,0.0799264113729956,0.054558656071401444,0.0147852022911025,0.009247811712248493,0.015155510016614906,0.062995339677182,0.017290430116001065,0.033623015176865924,0.043686305116144415,0.05157442240102851,0.056951850037032,0.01914633867282601,0.016817149839872664,0.0294551110540415,0.0363598942264649,0.0017022235832913747,0.003008312255409523,0.05271744631945836,0.0119663377820106,0.0013592902923922111,0.0031198153772869918,0.006801609737326606,0.0099045582681046,0.01505434585055179,0.004168469539516412,0.04409796219560932,0.007595935654686142,0.010377746232956406,0.01388052981933582
327,3.418440976360543e-05,2.4885898547103147e-05,0.00040607514793919143,0.0076042384752281,0.0,0.0019917436013707273,3.4225247330274064e-05,0.012005556895575396,0.0006553437429362873,0.0029357436982550295,7.195427877914367e-05,8.521105843041466e-05,0.000709778763795025,0.00013126334381901046,0.00032789614845205126,0.050493562665435504,0.0005244894341903404,0.00041148308075178376,0.0009208645733520665,0.001805804559173753,9.451180461577245e-05,2.2538074608286478e-05,0.0011198433054890034,0.002298174050008005,1.0190567486272665e-05,0.0005340820743803457,0.0006084276741355133,0.0003529769549476,0.00022389957095047077,0.00010618955377398155,0.00015292413655890484,0.0003349330777412945,0.0005184145530359237,0.00011714322100951603
331-332,2.911010473509613e-08,0.00018504141490364648,0.0046414364427134055,0.0080941871283282,0.0,0.0032205072531384794,0.009568102632821776,0.017956978861371032,0.0003847033523651245,0.002611978953688706,0.00037233703547267914,0.00043441556923077423,0.003986853637727171,0.0007811421404703576,0.0006885758634997005,0.005248909236848994,0.05202572227085767,0.011115338184913573,0.011017331958759117,0.0140324080347792,4.939947876230527e-05,8.596695818162668e-05,0.0026062712960011228,0.0031628455261447116,1.2955172208688474e-05,0.0004678375356762772,0.0004239966060114143,0.0011441945279234,0.0011835104007471393,0.0014530892897293508,0.0010592535099635308,0.0013568096628357098,0.0004894008078651052,0.0052419121877963215
333-336,0.001036719694776049,0.00012896843257007213,0.0021539356176848,0.0001306441913572,0.0,0.0062714729677608,0.001354363534951331,0.004685186219795601,0.00013466870933196811,4.375210932132112e-05,0.0048485138250904045,0.0026482941415213045,0.0019030474595043544,0.0022244140522585257,0.0009922688935444569,0.0031815038156026,0.009183660157418673,0.03742504536099912,0.00491711905383926,0.0151576422088794,0.0018841772766405973,0.001823144967041516,0.008006338452075257,0.01591361257552983,0.00181911461339592,0.0011787016862464948,0.005870400272015576,0.0012131856059202,0.0022943503692148567,0.0005867523744260359,0.00047371341698378367,0.0008109752453075375,0.002156647012860982,0.006158786492101887
337,0.0,0.0,0.0,0.0,0.0,0.0,3.2664960291925186e-06,0.0008223543705308874,5.439397575836262e-07,1.0836648779051917e-07,0.0,0.0,4.1920022316544575e-06,4.627369098426733e-08,0.0,0.0,7.213935424421307e-07,8.185160570180706e-06,0.00672625598730364,9.008927610107523e-06,8.20318982421186e-07,2.314691311072526e-05,0.0,9.827741215603824e-07,0.0008420316847495554,5.687021251477683e-06,3.033111454943794e-05,0.0002874792146407,3.889273938036243e-05,0.0003223477693092816,0.0001415934096344179,0.0001947621131612911,0.00019981263291557664,8.77701474781232e-06
339,0.0,2.595025504376126e-07,0.0010068167006791102,0.0001029783625992,0.0,0.0004060670421803867,0.00012210105694521385,0.0007958782376559066,5.743892143996526e-06,3.3293760232764304e-07,0.000540181945674825,0.001844032647971256,6.876386309666667e-05,0.0002318052436950966,0.00019263982546164905,0.0013839006277759284,0.00017585240539715164,0.00016655716314736133,0.00010128355923577428,0.016383445605837554,3.5532595078874765e-05,8.132449490242194e-05,0.00010301398415286445,6.0727814475681306e-05,0.0005085398335091479,2.2665880777590714e-05,0.0007974316213368696,0.0005799642979014,0.0001223649888921516,0.0003320714097981432,0.0031360743503945124,0.0004742118121562078,0.0007938346718769435,0.00035670821320757027
43,0.009498803474622931,0.013118446570207398,0.0139837473909945,0.0255113194079653,0.0,0.0119828075585205,0.012320002032275302,0.033153567128015406,0.02104930590711427,0.006140702130784203,0.0248743937769648,0.0227262361034456,0.0306752895092811,0.04484583524555082,0.022004246693082926,0.035337574356628,0.0385530944509346,0.027195706082811282,0.024113666462901306,0.0247222247808188,0.002715533105189192,0.001520508884708502,0.010332885324162384,0.0120291013773176,0.002608167737533859,0.0029699501953277052,0.009097026615130848,0.0035460983276596,0.007750191881753336,0.004133526567907829,0.019917803996655985,0.00910432492327294,0.016268941345057474,0.009862909076465096
46,0.005528371001328005,0.007635027935990797,0.0134353206350825,0.0245107825152313,0.0,0.0115129000021579,0.007170155559085509,0.019293762584548256,0.012250846305916965,0.0035739304453892796,0.02177836962177688,0.01558215384106875,0.01816713799816595,0.026100590213399704,0.012808752724744141,0.0339518015898511,0.02954313179515257,0.015828093698857938,0.014034354227917952,0.0237527095806381,0.0015794638632811572,0.0008849470354979534,0.006013811249560653,0.009830499661617746,0.0015179717501202943,0.0017304536559680738,0.00529203044983328,0.0034070344544993,0.004510666681875442,0.0024057411915057994,0.011592305592437731,0.005298776168199758,0.009468638151651644,0.005740276955178017
48-49,0.0026340398767709257,0.0027813591679661143,0.0063395167151249,0.1162629226866558,0.0,0.0114844252501636,0.0027309852255859106,0.005881568423024112,0.004941725786631939,0.002466120592846113,0.00993318694760872,0.005637985291931005,0.006723116116737657,0.007711110533736609,0.005023177205672453,0.0152321508759645,0.011768715436647472,0.00468995987391649,0.003358423792665003,0.0060959463497251,0.0038657640053574747,0.005816456492080365,0.03076697139154849,0.008035008064111351,0.005199057629071038,0.0016372573019133578,0.004103677888908164,0.0063017891995289,0.004043555498827036,0.002829773627905475,0.003907731826577257,0.002518591335188711,0.0033740567266698235,0.002489434058381099
51,0.0,4.767054974675404e-06,0.002684655236741817,0.0036289662808,0.0,0.0017218190386828688,0.0002251636244456063,0.0005146504140251025,0.0003691372937481687,0.00014660697111788283,0.0004940170502527671,0.0006370059756779717,0.000507629812460568,0.0007845146516251275,0.00020807345982744557,0.0013094140526698288,0.0006703189954400735,0.000249836319807993,0.00033066132584144036,0.0005185710417227985,0.0007388835947718027,0.000796509994852555,0.0011688411720179681,0.023847407119577193,0.002495262292890749,0.001343066554979834,0.003011748703645343,0.0422954315497056,0.002994506708154883,0.0025699855987172146,0.001096080218367522,0.002095053676826499,0.002079575003526894,0.0013616599438255924
52,0.0012478188319799443,0.00016993422699169598,0.0005203824924808,0.0010546389578607,0.0,0.0115991320401501,0.0009422894232337033,0.0010687554471116964,0.0004783001958140234,0.00015245438562729193,0.0015584354468868844,0.0012334363500774571,0.0010078285288510343,0.0019876104904948655,0.0007820666894733339,0.0036070377438146,0.0021131056628720364,0.0003036758144052869,0.0004384048386097788,0.0006418581545860314,0.004457270497086783,0.004426776736737724,0.0014618661535724046,0.00476305033458052,0.04086796751063217,0.00043731597174249655,0.0019958489617475372,0.0982035618633017,0.0008076939716846037,0.0008430799392363429,0.002010208988943117,0.0003025744412955373,0.0010556752458563364,0.0001484820239588258
53,2.7999947631838168e-08,4.17899919114701e-05,0.002119031606364,0.0025719998802025,0.0,0.014709497539195,0.0020398920407844723,0.0041587151991980265,0.002393686920435811,0.0009738251889417457,0.0092244562102793,0.008798588184551334,0.004602135516043688,0.007005695967396773,0.001956389439977938,0.0056527697860109,0.00411895558368817,0.0027989585351123982,0.005580459928620017,0.0050187368420103,0.007486799982826579,0.02352278800613306,0.0044302316064883385,0.059534448723304,0.013300162702909778,0.0035515371663196998,0.00973000427485447,0.0201830488345382,0.006062945402375054,0.0077876952252999045,0.009974928243033379,0.01512799675132015,0.013881672785932967,0.011775537249930136
54,9.709025655554282e-05,0.0001833650003564994,0.0180808831360487,0.0082606212410153,0.0,0.0194433792606721,0.009203688983603502,0.008916884208887971,0.0023449114711140075,0.0006983984847275745,0.0018854857975436744,0.0026284029832816685,0.0017249461622536179,0.004893342175727765,0.0016667562487204038,0.0033743755819822,0.003303912051450258,0.0015144739518441115,0.001936463819947819,0.0015774523915652,0.003864476045832464,0.006762515958696944,0.0041570147274751675,0.02384464437456328,0.011384860944714179,0.00811968008069489,0.01312612998929518,0.0635569617649788,0.007464470662913433,0.005986677780810859,0.007767427105135508,0.003347579673601752,0.0019535845013991687,0.004442384873731049
