Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023<R>,2024<P>
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",1297706.2150000003,1296192.661,1320908.5610000002,1443757.8059999999,1430853.0940000003,1378134.5090000005,1074713.258,1301105.438,1390762.1249999998,1503256.372,1503566.272,1622472.4640000002,1737527.279,1757526.2200000002,1895307.7610000002,1965246.545,1978539.643,1686676.0080000004,1870434.7230000002,2051336.0820000004,2184603.16,2158046.039
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",52687.333,54592.63300000001,54765.029,54948.89999999998,53899.049999999996,52157.632,49201.179,50841.384999999995,51721.663,55625.30700000002,52722.205,51839.49299999999,55495.11799999999,54923.29400000001,53331.339,55539.63300000001,56142.60199999999,52556.16700000001,56858.111999999994,56474.200999999994,51653.281,49479.149999999994
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,70397.581,73721.18800000001,75346.40600000003,81864.69600000001,83667.44699999999,89100.122,85939.32100000003,81954.48800000003,89114.096,99032.04000000001,99672.76999999996,104743.93800000001,110229.19099999996,120757.13699999997,126583.72700000001,132857.27100000004,130006.38100000001,121500.57100000003,136045.8,139415.42200000002,138004.562,151536.633
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias<C1>,9817562.361,10163251.678,10383739.583,10850881.235000001,11159521.204999994,11353745.820000002,10818740.130999997,11452512.723999998,11936773.987,12368531.184999999,12580301.945,12861800.472000001,13251074.840999998,13585744.54,13924307.337,14329410.797000004,14361696.731999999,13194944.964,13940158.779999997,14366278.788,14844765.817,15192992.963
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|43---Comercio al por mayor<C1>,1462033.7349999999,1517752.0129999998,1561713.719,1670044.4239999999,1707968.6969999997,1725036.3739999998,1561741.373,1723009.826,1845657.1039999998,1938325.5069999998,1925332.3329999996,2003205.1379999996,2084223.7130000002,2143321.8570000003,2185007.241,2268261.446,2225792.3880000007,2046973.643,2218040.929,2345477.9969999995,2434837.3880000003,2462380.3210000005
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|46---Comercio al por menor<C1>,1650393.5550000004,1703338.8460000006,1763835.5600000005,1848565.7490000005,1883309.1819999996,1875034.3269999998,1649812.7980000004,1832815.14,1959588.9379999998,2010713.4949999996,2045153.8460000004,2089216.1949999998,2102972.9080000003,2100868.131,2152204.36,2241444.476,2225422.0979999998,2038198.415,2218676.102,2359932.733,2461547.261,2546015.7579999994
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",1084208.998,1129856.3509999998,1158404.9710000004,1206137.017,1248371.7540000004,1246164.48,1147620.9859999998,1246954.4279999998,1298204.702,1351324.3770000003,1384020.4780000001,1439128.681,1499398.8779999996,1546098.7460000005,1604779.0949999997,1653709.88,1656324.7380000004,1356391.219,1569160.158,1753960.0900000003,1810308.5220000003,1891531.0630000003
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|51---Información en medios masivos<C1>,107924.943,120325.16399999998,132238.398,145266.137,169939.47499999995,180893.742,184241.282,189944.46599999996,198701.02999999994,217478.70400000003,223933.836,233884.51099999997,282666.867,323599.373,353529.96800000005,371260.67300000007,380173.734,349318.49299999996,374756.32899999985,422565.24899999995,453723.389,467506.118
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|52---Servicios financieros y de seguros<C1>,247191.5459999999,293676.97699999996,255355.602,286834.60900000005,312994.73399999994,369333.52900000016,401821.90700000006,490147.71100000007,509178.273,539125.5430000001,630362.365,645964.7899999999,700176.7860000001,787826.3220000002,855901.7019999999,886660.007,902497.3549999997,846042.5789999997,862019.7319999997,917471.098,988359.059,1010647.367
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,1471667.6939999997,1530047.6930000002,1565135.1880000003,1634946.5140000002,1691003.495,1748076.31,1754258.7759999998,1807199.1900000002,1859961.3639999998,1907280.395,1926049.7710000004,1969082.3000000003,2017486.1070000005,2057143.5269999995,2085521.084,2120660.0939999996,2154506.3539999994,2146396.766,2248447.5909999995,2313743.1739999996,2369739.421,2394257.9680000003
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",339625.9219999999,352718.35599999997,364001.13200000004,374753.89099999995,387840.56299999997,400856.25299999997,383739.94899999996,381188.168,398299.26,406018.4980000001,408192.397,411067.479,425986.112,435970.69700000004,431938.25999999995,435679.59900000005,438280.20200000016,432002.79,454238.14099999995,483995.47800000006,516954.592,587443.4220000001
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|55---Corporativos<C1>,72807.933,74780.004,77477.69700000003,88681.796,89428.394,96533.77999999996,89468.65699999999,93956.612,97011.595,106575.33699999998,104718.92599999998,114145.04699999999,119528.47099999999,117769.075,119293.36800000002,126888.45999999999,125131.96800000001,134474.204,149455.4159999999,154561.15100000007,148100.58899999998,162483.41300000003
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación<C1>",550966.9169999999,570619.1160000002,590482.0759999998,612133.7100000001,631964.5729999999,645073.2189999998,603960.8840000002,609251.027,642348.6490000001,669080.8069999999,698300.9639999999,696784.3119999998,703461.3019999999,711940.219,761983.1589999998,793516.9810000001,820452.823,791000.6680000001,622591.0539999999,244067.44,233688.90100000004,223805.84500000003
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|61---Servicios educativos<C1>,781557.673,790877.9149999998,804387.871,803247.2240000002,817257.751,825927.8620000001,827795.8779999998,827571.7130000001,839669.669,850689.8739999998,854720.3189999999,859150.7050000001,857988.6129999999,865926.6739999998,873302.7710000003,877924.1690000001,881177.1530000002,857498.2229999999,858154.919,868383.3559999999,879963.0300000001,881736.3139999999
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,421519.677,426849.47399999993,434533.47299999994,467168.9549999999,474427.7219999999,479663.60500000004,488755.047,491670.81299999997,504119.61199999985,516240.09899999993,521749.722,520292.6720000001,511322.91900000005,525419.6220000001,532366.0589999998,547677.3389999998,557481.194,548519.3879999999,581640.6750000002,576371.3200000001,582522.9060000001,585887.65
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos<C1>",88147.096,89249.46299999996,89006.40000000001,93426.609,97726.995,98589.957,95317.63100000001,99473.18500000003,99164.00000000001,102101.526,105629.34300000001,104272.788,107511.55300000003,111636.885,113278.88499999997,115524.743,113884.73400000001,66816.095,86528.41499999998,119866.097,125481.21099999998,129079.95000000001
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas<C1>,501771.1599999999,519157.19800000003,525660.483,531449.3470000001,539230.926,533169.776,479038.10799999995,481760.16900000005,490379.56899999984,515292.08700000006,517332.61300000007,522227.73099999997,556185.5639999999,565182.2050000001,574054.6840000001,583974.4950000001,588728.8579999998,353162.90100000007,463485.38200000004,562236.2680000002,579354.778,568796.5949999999
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|81---Otros servicios excepto actividades gubernamentales<C1>,339112.151,347384.9849999999,358787.363,371893.2039999999,386287.30199999997,392629.8229999999,390093.157,394592.03099999984,402182.41200000007,415208.687,424128.038,427875.9110000001,442011.282,451257.253,446874.18899999995,450855.0270000001,458973.552,392708.12799999997,411476.89,421992.646,435800.456,442092.749
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales<C1>",698633.361,696618.123,702719.6499999999,716332.0489999999,721769.642,736762.783,761073.698,782978.245,792307.8099999997,823076.2490000001,810676.994,825502.2119999998,840153.7660000001,841783.9539999998,834272.5119999999,855373.4079999999,832869.581,835441.4519999999,821487.0469999998,821654.691,824384.314,839328.43
Variación porcentual anual en valores constantes|B.1bP---Producto interno bruto<C1>,NA,3.56544086222,2.113247235577,4.805013537019,2.077863883353,0.943331966922,-6.295250655299,4.971334683448,3.444045065322,3.553210641646,0.852101620043,2.503763460764,2.70232338096,1.772493375021,1.871728454483,1.972082115145,-0.392690442942,-8.35403460381,6.048483354349,3.709757110312,3.106796450736,1.350576305586
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos",NA,3.053566982726,3.45962077662,5.494789781676,-0.429366379693,4.258725719295,-12.081592956272,-0.533184346407,0.672318822234,1.370010896527,-0.86680646704,2.457956251522,5.359602493166,2.247204764866,1.947691061285,2.398454988747,0.404681772934,-13.851807737084,11.371053513267,6.230955767229,4.163443779382,1.500850708813
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,NA,3.598786600577,2.026000075813,4.759686849195,2.24377549882,0.729677450249,-5.909296203834,5.314405995849,3.607202095758,3.678083788613,0.948229811334,2.506279123049,2.556458447453,1.745722998165,1.867423585139,1.947900140948,-0.438113713893,-8.038196176451,5.762040339585,3.566878763792,3.045375065212,1.341746291692
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,NA,2.504411384002,-3.088686740532,6.005004580242,4.365687493056,0.796527623134,-2.780770203868,2.42038721623,-2.419974282165,6.054411854839,3.01515826501,3.155254801975,1.852880697668,2.915397924416,3.267792954013,2.459327143223,0.298819204392,1.119855503917,2.322886308952,1.565796471647,-1.125905966476,0.386596263992
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",NA,2.504411384002,-3.088686740532,6.005004580242,4.365687493056,0.796527623134,-2.780770203868,2.42038721623,-2.419974282165,6.054411854839,3.01515826501,3.155254801975,1.852880697668,2.915397924416,3.267792954013,2.459327143223,0.298819204392,1.119855503917,2.322886308952,1.565796471647,-1.125905966476,0.386596263992
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",NA,3.848934228706,-5.199302253393,8.23637012993,5.423647420513,1.147164467491,-5.510016585839,3.061152646583,-4.697902032876,9.335261445869,6.360739320523,4.11279053391,1.623017324098,4.869627902169,3.910545848062,2.730429363329,-0.253814745568,-0.045910449071,2.601256719813,1.574918233891,-3.114794284346,-1.209058166455
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",NA,1.116206373452,0.405072099353,3.263992329275,1.969763833397,0.843980750221,2.083985596574,1.452247058351,1.288067524954,1.365003806746,-2.397980395382,1.345980399466,1.564110304708,-1.182541394525,2.029897009755,2.28386500239,2.274780263391,3.266407885975,1.778195648607,1.731248418845,2.610531745861,3.797406087641
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",NA,-4.156837954847,5.20897261519,-9.26464470237,13.995678154068,-4.578008657816,1.69245579605,4.287326062429,0.896204581637,-3.915406024575,8.19217332985,9.448327803107,20.586281104051,3.597512202062,-6.618876442267,-1.454194146648,-18.755389129517,-6.439537702744,10.879559385291,-6.552771992531,3.456955090696,1.863583766567
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",NA,-3.238251046876,-2.97118746591,1.619822788203,6.450071779735,-3.45648573959,-2.750919763043,0.798402530125,-1.355438263909,3.04724391825,-2.548229006418,1.04081389811,2.444231295277,5.091884070567,6.251442681241,0.473912973839,-0.082577321368,5.56138439111,0.127349187648,2.153503138517,0.216691338111,-3.181838008929
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,NA,3.819407852799,2.274267203943,5.050748482567,1.14448407467,-0.839855704012,-8.096319612291,4.700602995698,3.145855192785,3.567289242449,-0.526830870383,2.906535458984,1.82032062825,0.285648601307,0.626122218665,0.165580143204,-1.741034636692,-8.838038824773,6.380060048563,4.754347929425,2.968634923259,-0.430419711858
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,NA,1.742391881753,0.541318530429,-0.801703388808,-1.166169075927,-4.583828053997,-3.736357863805,1.908755877172,0.606722867221,1.814165694867,0.003635652832,-1.636528874047,-4.654991786447,-3.694596684046,-8.049230553659,-6.461666424407,-5.371635991956,-0.42671016694,2.564571915752,4.106459169995,0.435214107027,-7.096871921799
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,NA,1.429636965567,-0.609118872399,-0.747753482903,-2.92914401703,-4.796825681805,-4.114283064405,-0.231251423044,-1.160431734616,-0.155154321848,-1.313154685869,-2.1462676272690002,-5.991415944528,-6.124560582951,-10.750955141852,-7.844323155662,-6.045666889147,0.364567311458,1.626732290017,4.485085605874,2.002743342237,-6.405092849948
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,NA,3.807537205224,7.963737232868,-1.122139741113,9.344697251796,-3.456479341526,-1.76385493973,12.810843452653,8.568548020129,9.891744342219,4.910930067678,0.150418095731,-0.07744324564,4.135956357143,-0.200761277647,-2.869680649982,-3.710262345838,-2.329773001933,4.882346100059,3.19976871458,-3.365273659916,-8.867265150888
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|22---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final<C1>",NA,22.81748965181,6.922781428677,14.921676436556,6.922604274905,2.931972791214,-0.641822414543,2.763463994303,6.244534896736,1.384956287692,1.619253238891,6.055220840338,1.123504160831,-0.767506850684,4.614620333877,1.899875412032,-5.267450324374,-4.469445792403,-22.282675665975,0.328029859379,-2.449989069382,-2.317121063768
