Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023<R>,2024<P>
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|43---Comercio al por mayor<C1>,133524.936,138021.732,141468.53,153029.95,159466.798,161837.247,147637.481,163788.608,176766.787,184713.596,187169.039,200905.3,210853.643,224237.263,224776.642,243326.725,244473.87,228941.03,245583.05,261782.227,271698.027,271714.001
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|46---Comercio al por menor<C1>,116581.324,122485.951,126287.391,130883.854,131543.08,131838.494,118851.425,131480.317,138897.35,140253.88,142034.382,141440.135,139047.5,146472.782,145438.423,153879.946,152111.898,138850.196,147713.655,157832.245,166389.945,171106.039
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",66456.232,69182.959,70191.902,73145.432,75200.452,73509.394,69076.068,74700.461,76463.387,78906.365,81391.857,85475.858,90787.324,95612.641,99081.094,104286.508,104149.584,85618.865,100914.549,115653.52,119227.043,124794.388
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|51---Información en medios masivos<C1>,3486.665,3953.843,4423.596,5004.542,5948.158,6431.639,6674.358,6864.413,7169.912,8349.876,8620.361,9097.966,10815.349,13198.247,14170.54,15497.267,15974.881,14264.424,15127.665,16434.257,18236.604,18924.091
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|52---Servicios financieros y de seguros<C1>,14635.389,18003.591,15748.979,17532.115,18788.764,22991.802,24407.242,29440.072,28995.616,30657.96,35558.672,35728.261,38841.392,43082.209,48536.643,50365.047,52805.301,51218.818,53859.282,58489.004,62806.34,61778.799
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,108904.256,112442.711,115139.251,119618.101,123665.825,127783.976,129646.222,133863.343,137960.924,142049.649,143402.409,146875.971,150860.501,154339.673,156558.679,159994.438,163124.035,164689.434,169590.368,172642.697,180081.864,186426.826
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",22479.676,21335.434,22461.864,23321.17,24732.118,28080.925,23544.389,24196.84,25752.485,25684.53,26175.868,28160.724,29188.733,28853.427,30648.184,31565.556,30058.058,30549.198,33588.243,35023.154,36280.887,42077.851
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|55---Corporativos<C1>,272.029,265.433,253.845,272.517,281,276.651,285.982,304.175,317.247,333.211,318.428,338.783,358.346,391.997,408.085,405.189,420.352,423.668,469.21,527.632,527.68,545.161
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación<C1>",40682.394,43081.389,44129.555,48847.1,52154.83,55931.98,49375.62,48758.676,50818.821,50708.442,51785.586,50112.823,50154.925,51517.389,55100.288,56331.742,58037.979,56084.279,45521.514,17644.686,17400.813,17104.958
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|61---Servicios educativos<C1>,48688.906,49540.2,49602.535,49186.938,50325.488,49889.685,50494.079,51447.874,51580.901,52781.478,53697.201,52802.383,52166.641,53169.944,52101.242,51569.956,50783.389,49170.554,48464.012,50045.347,50411.352,50329.265
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,27653.459,27666.634,26554.463,28112.332,28752.494,28495.621,28995.881,28796.342,30067.65,31455.556,31625.416,31421.532,30054.207,32355.862,32797.108,35241.084,37486.71,34591.479,37128.156,37730.612,37434.938,36882.505
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos<C1>",7864.724,8016.458,8052.09,8440.958,8926.045,9017.486,8638.801,8932.284,8990.198,9209.439,9464.12,9438.562,9779.31,10228.345,10495.791,10655.052,10568.833,6143.098,7831.652,11232.254,11758.485,12044.814
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas<C1>,35605.003,33998.244,36601.092,37659.646,37862.011,37866.604,35058.248,34607.616,35390.199,36487.829,38280.484,36514.422,41682.667,42592.25,43182.17,43615.969,43791.262,24017.931,35118.108,42106.521,37544.071,36133.084
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|81---Otros servicios excepto actividades gubernamentales<C1>,33269.574,34562.803,35481.664,35913.662,37376.383,38203.555,37934.593,38082.034,38064.974,39800.253,39761.987,40172.64,40816.172,42718.716,42862.713,43489.872,44184.955,38674.028,39453.781,40040.875,41399.869,40913.485
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales<C1>",34479.206,34325.8,34374.839,34251.331,34672.8,34595.434,36554.561,39051.385,39622.214,43307.318,42787.67,42341.502,42309.037,42579.573,42508.939,41856.427,41853.279,41626.181,41170.929,40903.392,40822.092,40819.347
Variación porcentual anual en valores constantes|B.1bP---Producto interno bruto<C1>,NA,2.865122771928,2.241912008776,5.110403692379,2.994002487754,2.021107324804,-6.572202233673,5.944097192469,2.834951827307,3.867707255194,1.710030415571,3.538441690719,3.7702131588,3.053197982327,1.892205170391,2.695299654293,0.737883946666,-8.087406603908,5.434906161155,4.967287796865,2.896956584441,0.780589605919
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos",NA,2.370504351606,4.97435948608,4.795442664976,-0.466550525434,7.190919727645,-11.567817403287,0.557271710319,-4.161339226039,4.764292027036,-0.42244775469,4.848942471198,5.549074032658,0.454708176529,1.348055910433,2.912108777359,4.260846125586,-16.013903204039,10.925718589134,7.456571524425,3.44333702963,-0.459182093176
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,NA,2.904356121481,2.02629748692,5.135975069097,3.27405137295,1.617888344885,-6.161201128575,6.361749440669,3.347786990708,3.806761867995,1.85632279877,3.450549992073,3.649297148909,3.233064740871,1.928857316512,2.680779300907,0.501409109358,-7.535446959243,5.087614160457,4.80109458126,2.859554035506,0.865940024548
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,NA,12.498296557902,-4.465140453275,6.717572937692,8.163845508339,2.258650620997,-13.399228522425,9.887993350011,-0.120259688826,10.322653131241,-0.098363956137,12.79001505969,-3.441109569252,1.654561189201,1.667655066231,3.669090050201,2.392895677101,2.65457066952,-1.024043961475,4.245938574832,-0.824387093579,2.532368573333
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",NA,12.498296557902,-4.465140453275,6.717572937692,8.163845508339,2.258650620997,-13.399228522425,9.887993350011,-0.120259688826,10.322653131241,-0.098363956137,12.79001505969,-3.441109569252,1.654561189201,1.667655066231,3.669090050201,2.392895677101,2.65457066952,-1.024043961475,4.245938574832,-0.824387093579,2.532368573333
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",NA,22.62609009295,-5.480296986038,4.819057036377,13.630757897096,4.561847197854,-25.466156237685,14.196910661554,1.580891614122,14.378371843542,2.71121062797,24.274402121713,-7.60574046391,0.975094905476,1.215150541973,3.735612434461,2.248745646462,2.113962648119,-4.017409810884,7.040338741894,-4.581266215487,2.319886556652
