,Año,2010,2010.1,2010.2,2010.3,2011,2011.1,2011.2,2011.3,2012,2012.1,2012.2,2012.3,2013,2013.1,2013.2,2013.3,2014,2014.1,2014.2,2014.3,2015,2015.1,2015.2,2015.3,2016,2016.1,2016.2,2016.3,2017,2017.1,2017.2,2017.3,2018,2018.1,2018.2,2018.3,2019,2019.1,2019.2,2019.3,2020,2020.1,2020.2,2020.3,2021,2021.1,2021.2,2021.3,2022,2022.1,2022.2,2022.3,2023,2023.1
0,Columnas,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2
33,339 - Otras industrias manufactureras,78401.898,81500.789,86603.069,81312.209,83287.473,89918.299,92748.23,90502.383,93069.598,103436.047,103082.21,96540.3,93948.373,103886.504,100725.807,100130.397,98524.959,105738.298,110966.622,103745.874,102831.226,110925.887,115840.121,111319.522,116093.503,123541.404,124084.869,119308.763,122316.519,127103.766,128762.304,128152.324,126710.444,135011.67,137153.968,132552.998,127128.862,126482.974,131264.57,129467.966,122403.427,103046.986,126646.839,130753.436,128809.329,136121.182,135990.249,134928.085,129806.42,138167.687,136987.119,137009.917,133570.959,138300.817
34,481 - Transporte aéreo,34145.019,30680.897,31874.25,30361.325,29967.006,27883.074,33489.75,34826.669,33479.983,29884.242,36187.745,36648.173,34676.655,31688.297,40165.113,41728.967,38897.905,36522.619,43146.51,44009.617,41894.271,40554.343,47904.615,49010.91,46410.292,46007.805,52656.451,55896.747,51127.194,56178.091,59921.502,60853.885,61037.793,63015.446,65163.906,65080.835,61824.649,67439.555,71018.817,74795.619,68141.769,8593.101,27782.222,43008.856,39837.658,55208.136,61036.724,68249.366,64838.576,76405.174,79955.073,83758.676,79317.255,83599.296
35,482 - Transporte por ferrocarril,32342.78,36363.666,33419.948,34623.39,32761.543,35297.217,35297.89,35088.774,35065.408,35483.811,33076.716,34157.485,31464.642,34334.43,33636.618,35473.937,32369.796,36031.426,35977.912,35640.814,33802.535,37599.901,36785.03,36331.766,35488.008,38659.901,35670.854,37021.113,35590.19,38761.074,37072.584,38086.384,35254.481,39862.705,39088.688,39796.782,35533.121,40016.186,41455.575,39305.834,39883.505,34541.44,39340.382,37639.669,39895.105,42017.947,41120.336,40517.94,41068.395,41466.292,42971.395,41200.569,42334.111,43523.717
36,483 - Transporte por agua,18103.91,20371.136,20708.078,20560.376,19795.136,20728.156,20699.031,20439.017,19144.556,20190.943,20824.383,20432.909,19587.014,20760.459,21790.954,21167.489,20711.839,21298.936,21349.513,20327.492,20050.025,19661.79,20259.452,18619.368,18263.344,20117.115,20577.201,18783.804,18437.827,19433.031,19054.982,19175.284,18117.953,19540.351,19922.958,18275.434,18193.923,19209.093,18621.738,16808.146,16062.391,14668.634,14771.699,15452.108,15831.634,18497.636,19103.474,18883.556,17146.552,19176.291,19157.543,17371.756,17638.005,19144.82
37,484 - Autotransporte de carga,551882,591898.825,606199.264,625302.223,598034.302,620875.922,641053.465,660065.051,655940.533,677045.599,677471.943,698707.526,662214.499,703239.299,701938.442,714511.888,697444.297,732460.724,738815.103,766092.992,738750.025,766645.648,779709.964,790418.06,754028.805,786190.744,792795.345,808861.534,802440.415,820021.068,831578.693,852147.152,825407.612,862947.63,863894.356,873072.971,846773.702,864760.927,865474.303,841608.899,818791.231,630395.272,788909.393,841965.94,832088.683,851493.972,855209.347,875599.821,863301.902,891019.68,912501.602,910908.263,903559.007,931009.428
38,"485 - Transporte terrestre de pasajeros, excepto por ferrocarril",373823.763,387569.691,398880.411,395704.751,382802.897,398182.57,406441.349,400091.707,389878.078,392551.194,404949.948,401695.209,396231.304,401835.064,417327.867,415017.953,400840.135,406246.796,418022.117,421989.42,408319.782,417785.795,436092.12,435571.843,426445.766,432405.304,449763.821,445298.689,434562.792,440262.29,449799.65,450195.816,447713.572,448734.291,456811.275,451426.346,444892.643,448939.868,453089.616,447395.301,428420.05,181899.405,246093.52,281194.193,278477.327,356916.645,350282.873,384857.039,382645.885,432143.886,426387.458,437094.303,409786.636,441645.885
39,486 - Transporte por ductos,20710.354,21175.924,21215.404,19694.17,20727.381,20877.548,20849.606,21064.384,21069.236,21485.378,20568.205,20736.74,20643.699,21810.165,20854.849,20844.455,19917.87,21237.747,20741.623,19334.071,18500.941,18851.709,19468.377,19831.889,19978.296,19418.899,16860.548,15341.468,16309.513,16688.418,13590.222,12304.339,14169.576,14969.043,11883.289,9985.028,10800.569,12021.516,10823.965,12133.046,16950.12,15684.578,16095.961,15798.393,17070.252,20281.228,16358.631,15129.777,19280.202,23543.723,19378.901,17190.345,19021.363,21165.157
40,487 - Transporte turístico,2045.387,1932.166,1905.032,1827.518,1993.714,2003.62,2005.478,1918.792,2029.719,1986.437,2064.543,2015.557,2204.381,2115.698,2209.23,2058.275,2202.407,2175.573,2150.374,2074.606,2211.351,2216.224,2291.21,2165.8,2315.241,2198.975,2295.754,2244.426,2359.885,2440.112,2443.756,2357.415,2544.537,2476.601,2590.94,2336.626,2298.456,2389.048,2542.987,2689.705,2669.783,218.152,1009.405,1507.68,1395.501,1865.34,1976.241,2024.971,2094.694,2416.795,2516.806,2504.941,2495.177,2497.6
41,488 - Servicios relacionados con el transporte,109265.223,113577.563,112450.453,115474.233,115605.071,118948.479,119740.946,122345.6,121421.696,120242.381,119606.988,123668.375,120041.805,121053.846,121317.98,123911.469,124904.193,127609.062,128719.34,131651.117,132639.57,134100.006,134782.942,137943.119,138417.77,140194.337,144642.915,150518.81,141961.499,151142.807,147626.645,156852.378,148133.508,157417.558,156326.98,156348.426,142697.222,150276.65,148554.533,152660.77,143978.931,81680.892,112170.575,134273.61,129071.202,149450.323,163445.219,179328.376,161062.39,176671.748,186777.903,184582.152,168313.363,175477.037
42,491 - Servicios postales,3731.1,3468.092,4376.759,4252.86,3725.585,4299.961,4443.193,4771.865,4302.753,3848.202,4795.249,4266.441,3538.334,3957.88,4417.951,4762.164,4368.064,3912.661,4842.22,4712.107,3905.498,3482.466,3890.921,4710.451,3919.166,3931.674,4581.222,3935.714,3146.285,2692.036,5272.308,3243.132,3188.46,3072.777,5610.659,3974.901,2661.87,2777.936,5488.96,3847.107,2966.2,2606.931,6016.335,3811.542,2706.472,3422.357,5732.105,4730.361,4429.774,4877.643,4540.438,4565.232,4612.409,5956.834
43,492 - Servicios de mensajería y paquetería,14523.302,13738.209,14140.274,13171.818,12885.942,13272.867,13050.798,14023.633,13084.108,13958.633,14124.949,14230.366,13468.737,13978.112,13794.829,13930.138,13503.943,13435.958,13512.453,14409.506,14663.812,15262.791,15591.99,16685.1,15905.488,17140.532,17306.982,18957.535,18899.223,19624.766,18994.036,21236.387,20164.499,22654.547,21035.214,22402.468,20324.141,21548.036,21842.58,23452.296,22032.62,23009.799,26178.127,28520.91,28142.526,28079.818,27241.335,31593.897,30479.824,29622.649,27762.27,28237.945,26897.479,31525.125
