Año,sector_economico_1,sector_economico_2,ta,asegurados
31/07/2010,0,3,387,
31/08/2010,0,3,382,
30/09/2010,0,3,355,
31/10/2010,0,3,370,
30/11/2010,0,3,398,
31/12/2010,0,3,373,
31/01/2011,0,3,392,
28/02/2011,0,3,427,
31/03/2011,0,3,481,
30/04/2011,0,3,460,
31/05/2011,0,3,466,
30/06/2011,0,3,378,
31/07/2011,0,3,364,
31/08/2011,0,3,354,
30/09/2011,0,3,352,
31/10/2011,0,3,346,
30/11/2011,0,3,374,
31/12/2011,0,3,362,
31/01/2012,0,3,378,
29/02/2012,0,3,375,
31/03/2012,0,3,431,
30/04/2012,0,3,458,
31/05/2012,0,3,626,
30/06/2012,0,3,547,
31/07/2012,0,3,488,
31/08/2012,0,3,483,
30/09/2012,0,3,454,
31/10/2012,0,3,471,
30/11/2012,0,3,445,
31/12/2012,0,3,451,
31/01/2013,0,3,460,
28/02/2013,0,3,512,
31/03/2013,0,3,541,
30/04/2013,0,3,614,
31/05/2013,0,3,621,
30/06/2013,0,3,601,
31/07/2013,0,3,493,
31/08/2013,0,3,503,
30/09/2013,0,3,493,
31/10/2013,0,3,481,
30/11/2013,0,3,501,
31/12/2013,0,3,485,
31/01/2014,0,3,495,
28/02/2014,0,3,526,
31/03/2014,0,3,596,
30/04/2014,0,3,585,
31/05/2014,0,3,551,
30/06/2014,0,3,503,
31/07/2014,0,3,499,
31/08/2014,0,3,497,
30/09/2014,0,3,474,
31/10/2014,0,3,466,
30/11/2014,0,3,423,
31/12/2014,0,3,486,
31/01/2015,0,3,508,
28/02/2015,0,3,529,
31/03/2015,0,3,567,
30/04/2015,0,3,589,
31/05/2015,0,3,589,
30/06/2015,0,3,548,
31/07/2015,0,3,508,
31/08/2015,0,3,483,
30/09/2015,0,3,487,
31/10/2015,0,3,482,
30/11/2015,0,3,494,
31/12/2015,0,3,484,
31/01/2016,0,3,501,
29/02/2016,0,3,559,
31/03/2016,0,3,601,
30/04/2016,0,3,609,
31/05/2016,0,3,613,
30/06/2016,0,3,520,
31/07/2016,0,3,487,
31/08/2016,0,3,483,
30/09/2016,0,3,493,
31/10/2016,0,3,496,
30/11/2016,0,3,504,
31/12/2016,0,3,482,
31/01/2017,0,3,483,
28/02/2017,0,3,497,
31/03/2017,0,3,509,
30/04/2017,0,3,515,
31/05/2017,0,3,514,
30/06/2017,0,3,484,
31/07/2017,0,3,467,
31/08/2017,0,3,461,
30/09/2017,0,3,452,
31/10/2017,0,3,464,
30/11/2017,0,3,479,
31/12/2017,0,3,482,
31/01/2018,0,3,471,
28/02/2018,0,3,482,
31/03/2018,0,3,507,
30/04/2018,0,3,540,
31/05/2018,0,3,507,
30/06/2018,0,3,465,
31/07/2018,0,3,456,
31/08/2018,0,3,456,
30/09/2018,0,3,451,
31/10/2018,0,3,459,
30/11/2018,0,3,457,
31/12/2018,0,3,451,
31/01/2019,0,3,475,
28/02/2019,0,3,512,
31/03/2019,0,3,536,
30/04/2019,0,3,534,
31/05/2019,0,3,523,
30/06/2019,0,3,453,
31/07/2019,0,3,442,
31/08/2019,0,3,441,
30/09/2019,0,3,419,
31/10/2019,0,3,435,
30/11/2019,0,3,468,
31/12/2019,0,3,442,
31/01/2020,0,3,461,
29/02/2020,0,3,469,
31/03/2020,0,3,484,
30/04/2020,0,3,456,
31/05/2020,0,3,452,
30/06/2020,0,3,387,
31/07/2020,0,3,386,
31/08/2020,0,3,394,
30/09/2020,0,3,373,
31/10/2020,0,3,385,
30/11/2020,0,3,380,
31/12/2020,0,3,362,
31/01/2021,0,3,420,
28/02/2021,0,3,455,
31/03/2021,0,3,445,
30/04/2021,0,3,458,
31/05/2021,0,3,449,
30/06/2021,0,3,416,
31/07/2021,0,3,416,
31/08/2021,0,3,441,
30/09/2021,0,3,396,
31/10/2021,0,3,408,
30/11/2021,0,3,390,
31/12/2021,0,3,367,
31/01/2022,0,3,377,
28/02/2022,0,3,414,
31/03/2022,0,3,408,
30/04/2022,0,3,406,
31/05/2022,0,3,419,
30/06/2022,0,3,426,
31/07/2022,0,3,410,
31/08/2022,0,3,411,
30/09/2022,0,3,405,
31/10/2022,0,3,431,
30/11/2022,0,3,465,
31/12/2022,0,3,409,
31/01/2023,0,3,447,447
